Country	Subject Descriptor	Units	Scale	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	Estimates Start After
Afghanistan	Gross domestic product, constant prices	National currency	Billions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	182.842	198.736	200.069	223.737	235.731	267.177	277.498	334.621	362.857	386.368	440.336	465.358	477.909	482.629	493.073	506.215	517.858	2017
Afghanistan	Gross domestic product, constant prices	Percent change		n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8.692	0.671	11.830	5.361	13.340	3.863	20.585	8.438	6.479	13.968	5.683	2.697	0.988	2.164	2.665	2.300	2017
Afghanistan	Gross domestic product, current prices	National currency	Billions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	178.756	220.013	246.210	304.926	345.817	427.495	517.509	607.227	711.759	836.222	1,033.591	1,116.827	1,183.039	1,226.570	1,318.478	1,377.535	1,418.128	2017
Afghanistan	Gross domestic product, current prices	U.S. dollars	Billions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.367	4.553	5.146	6.167	6.925	8.556	10.297	12.066	15.325	17.890	20.293	20.170	20.616	20.057	19.428	20.235	19.585	2017
Afghanistan	Gross domestic product, current prices	Purchasing power parity; international dollars	Billions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	18.835	20.852	21.557	24.858	26.983	31.404	33.252	40.403	44.323	48.180	55.963	60.181	62.973	64.276	66.384	69.449	72.648	2017
Afghanistan	Gross domestic product per capita, constant prices	National currency	Units	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8,235.103	8,597.264	8,329.717	8,999.553	9,197.003	10,037.908	10,166.971	11,948.894	12,597.832	13,005.246	14,344.613	14,665.419	14,589.070	14,305.840	14,227.635	14,247.508	14,376.938	2016
Afghanistan	Gross domestic product per capita, constant prices	Purchasing power parity; 2011 international dollar	Units	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1,026.919	1,072.081	1,038.717	1,122.246	1,146.868	1,251.729	1,267.823	1,490.030	1,570.952	1,621.757	1,788.776	1,828.781	1,819.260	1,783.941	1,774.189	1,776.667	1,792.807	2016
Afghanistan	Population	Persons	Millions	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	22.203	23.116	24.019	24.861	25.631	26.617	27.294	28.004	28.803	29.709	30.697	31.732	32.758	33.736	34.656	35.530	36.020	2016
Albania	Gross domestic product, constant prices	National currency	Billions	311.514	329.270	338.819	342.546	349.397	344.156	363.428	360.521	355.474	390.310	351.279	252.921	234.711	257.243	281.424	306.470	334.359	297.833	324.130	365.912	391.330	423.784	443.009	467.501	493.283	520.544	551.270	584.254	628.073	649.141	673.204	690.339	700.125	707.292	719.913	735.802	760.426	789.653	822.522	2017
Albania	Gross domestic product, constant prices	Percent change		2.684	5.700	2.900	1.100	2.000	-1.500	5.600	-0.800	-1.400	9.800	-10.000	-28.000	-7.200	9.600	9.400	8.900	9.100	-10.924	8.829	12.891	6.946	8.293	4.537	5.529	5.515	5.526	5.903	5.983	7.500	3.354	3.707	2.545	1.418	1.024	1.784	2.207	3.347	3.844	4.162	2017
Albania	Gross domestic product, current prices	National currency	Billions	18.489	19.126	19.698	19.900	19.645	20.065	20.692	20.531	20.238	22.228	20.006	19.519	63.341	149.142	223.571	267.424	334.359	331.324	384.848	443.594	501.199	563.449	610.494	677.738	737.656	804.163	872.735	965.528	1,080.676	1,143.936	1,239.645	1,300.624	1,332.811	1,352.197	1,392.414	1,431.138	1,473.233	1,551.047	1,649.173	2017
Albania	Gross domestic product, current prices	U.S. dollars	Billions	1.946	2.229	2.296	2.319	2.290	2.339	2.587	2.566	2.530	2.779	2.221	1.333	0.843	1.461	2.361	2.882	3.200	2.259	2.560	3.209	3.483	3.928	4.348	5.611	7.185	8.052	8.905	10.675	12.901	12.093	11.938	12.896	12.323	12.804	13.219	11.364	11.868	13.055	15.202	2017
